Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2005:06,0.06,0.06,0.21,0.05,0.38,0.30,0.27
2005:07,-0.16,0.09,0.13,-0.12,-0.06,0.10,0.13
2005:08,0.09,0.02,-0.03,0.14,0.22,0.18,0.29
2005:09,-0.51,-0.04,-0.01,-0.03,-0.60,-0.14,0.03
2005:10,0.44,0.08,0.09,0.01,0.62,0.08,0.10
2005:11,0.30,0.07,0.16,0.18,0.71,0.25,0.18
2005:12,0.09,0.03,0.09,0.09,0.30,0.54,0.42
2006:01,0.14,0.14,0.18,-0.01,0.45,0.49,0.49
2006:02,-0.09,0.06,0.06,0.06,0.09,0.28,0.31
2006:03,0.03,0.08,0.07,0.03,0.21,0.25,0.33
2006:04,0.07,0.01,0.05,-0.23,-0.11,0.06,0.15
2006:05,-0.09,-0.07,0.04,0.14,0.02,0.04,0.03
2006:06,0.06,0.00,0.04,-0.08,0.02,-0.02,-0.02
2006:07,-0.14,-0.06,0.06,-0.15,-0.28,-0.08,-0.15
2006:08,0.15,-0.03,-0.02,0.09,0.18,-0.03,0.04
2006:09,-0.07,-0.03,0.07,0.00,-0.02,-0.04,-0.14
2006:10,-0.13,-0.08,0.05,-0.10,-0.27,-0.03,-0.15
2006:11,-0.05,-0.06,0.01,-0.02,-0.12,-0.13,-0.31
2006:12,0.37,0.05,0.07,0.27,0.75,0.12,0.01
2007:01,-0.25,-0.04,-0.01,-0.19,-0.48,0.05,0.00
2007:02,0.22,-0.08,-0.03,0.08,0.19,0.15,0.10
2007:03,0.09,0.12,0.00,0.02,0.23,-0.02,-0.02
2007:04,0.17,-0.23,-0.03,-0.02,-0.11,0.10,0.13
2007:05,-0.06,0.04,0.02,0.04,0.03,0.05,0.06
2007:06,0.01,0.00,-0.05,0.00,-0.05,-0.04,-0.05
2007:07,-0.12,-0.15,-0.01,-0.14,-0.41,-0.14,-0.27
2007:08,-0.09,-0.18,0.00,0.19,-0.08,-0.18,-0.30
2007:09,0.08,-0.06,-0.05,-0.04,-0.07,-0.19,-0.34
2007:10,-0.19,-0.13,-0.03,0.08,-0.28,-0.14,-0.22
2007:11,0.09,-0.02,-0.05,-0.09,-0.07,-0.14,-0.19
2007:12,-0.03,-0.14,-0.15,-0.11,-0.43,-0.26,-0.36
2008:01,-0.12,-0.07,-0.09,0.05,-0.23,-0.24,-0.41
2008:02,-0.26,-0.16,-0.15,-0.21,-0.78,-0.48,-0.67
2008:03,-0.27,-0.15,-0.09,-0.28,-0.78,-0.60,-0.71
2008:04,-0.41,-0.24,-0.10,0.08,-0.67,-0.74,-0.74
2008:05,-0.27,-0.24,-0.08,-0.22,-0.82,-0.76,-0.71
2008:06,-0.28,-0.26,-0.13,-0.03,-0.71,-0.73,-0.72
2008:07,-0.36,-0.29,-0.20,-0.38,-1.23,-0.92,-0.82
2008:08,-0.58,-0.31,-0.13,-0.22,-1.24,-1.06,-0.84
2008:09,-1.33,-0.46,-0.25,-0.46,-2.50,-1.66,-0.89
2008:10,-0.13,-0.41,-0.27,-0.31,-1.11,-1.62,-0.80
2008:11,-0.78,-0.63,-0.25,-0.64,-2.30,-1.97,-0.81
2008:12,-1.28,-0.72,-0.26,-0.36,-2.61,-2.01,-0.78
2009:01,-1.22,-0.88,-0.19,-0.67,-2.96,-2.62,-0.83
