Date,cpi_infl
01-02-1991,5.2
01-03-1991,3.2
01-04-1991,3.0
01-05-1991,3.9
01-06-1991,3.9
01-07-1991,4.6
01-08-1991,4.4
01-09-1991,5.1
01-10-1991,2.8
01-11-1991,4.1
01-12-1991,4.4
01-01-1992,4.0
01-02-1992,3.0
01-03-1992,4.6
01-04-1992,4.1
01-05-1992,2.2
01-06-1992,3.1
01-07-1992,3.5
01-08-1992,2.7
01-09-1992,1.7
01-10-1992,6.3
01-11-1992,4.0
01-12-1992,2.6
01-01-1993,4.6
01-02-1993,3.4
01-03-1993,1.8
01-04-1993,4.9
01-05-1993,3.8
01-06-1993,3.5
01-07-1993,1.8
01-08-1993,3.7
01-09-1993,3.3
01-10-1993,3.7
01-11-1993,4.2
01-12-1993,4.0
01-01-1994,2.5
01-02-1994,3.8
01-03-1994,3.7
01-04-1994,2.3
01-05-1994,2.2
01-06-1994,3.2
01-07-1994,2.3
01-08-1994,4.6
01-09-1994,2.7
01-10-1994,2.6
01-11-1994,3.7
01-12-1994,1.3
01-01-1995,5.5
01-02-1995,3.6
01-03-1995,4.2
01-04-1995,4.0
01-05-1995,2.8
01-06-1995,2.9
01-07-1995,2.9
01-08-1995,2.8
01-09-1995,4.1
01-10-1995,3.9
01-11-1995,2.7
01-12-1995,1.3
01-01-1996,4.2
01-02-1996,3.4
01-03-1996,2.7
01-04-1996,2.4
01-05-1996,3.3
01-06-1996,2.9
01-07-1996,3.3
01-08-1996,2.8
01-09-1996,3.8
01-10-1996,2.5
01-11-1996,3.2
01-12-1996,2.2
01-01-1997,2.5
01-02-1997,2.1
01-03-1997,3.3
01-04-1997,3.1
01-05-1997,2.8
01-06-1997,2.4
01-07-1997,2.4
01-08-1997,1.6
01-09-1997,2.5
01-10-1997,3.4
01-11-1997,2.3
01-12-1997,3.0
01-01-1998,3.1
01-02-1998,2.3
01-03-1998,3.1
01-04-1998,2.7
01-05-1998,2.5
01-06-1998,2.3
01-07-1998,2.5
01-08-1998,2.0
01-09-1998,2.0
01-10-1998,2.7
01-11-1998,2.2
01-12-1998,2.0
01-01-1999,2.4
01-02-1999,1.5
01-03-1999,2.1
01-04-1999,2.6
01-05-1999,1.6
01-06-1999,1.3
01-07-1999,3.0
01-08-1999,1.8
01-09-1999,1.7
01-10-1999,2.4
01-11-1999,3.4
01-12-1999,2.2
01-01-2000,4.5
01-02-2000,2.0
01-03-2000,3.4
01-04-2000,1.7
01-05-2000,3.4
01-06-2000,3.0
01-07-2000,3.1
01-08-2000,3.7
01-09-2000,2.0
01-10-2000,2.7
01-11-2000,2.8
01-12-2000,3.5
01-01-2001,3.3
01-02-2001,3.2
01-03-2001,3.2
01-04-2001,3.3
01-05-2001,3.2
01-06-2001,4.5
01-07-2001,3.2
01-08-2001,4.2
01-09-2001,3.6
01-10-2001,3.8
01-11-2001,4.2
01-12-2001,3.0
01-01-2002,3.2
01-02-2002,2.9
01-03-2002,2.5
01-04-2002,3.2
01-05-2002,3.0
01-06-2002,2.0
01-07-2002,3.4
01-08-2002,2.8
01-09-2002,2.2
01-10-2002,2.7
01-11-2002,2.8
01-12-2002,2.6
01-01-2003,3.1
01-02-2003,1.9
01-03-2003,1.6
01-04-2003,1.2
01-05-2003,1.7
01-06-2003,1.1
01-07-2003,3.0
01-08-2003,1.9
01-09-2003,2.4
01-10-2003,2.5
01-11-2003,1.3
01-12-2003,1.9
01-01-2004,2.9
01-02-2004,2.9
01-03-2004,2.6
01-04-2004,2.7
01-05-2004,1.5
01-06-2004,2.8
01-07-2004,1.6
01-08-2004,1.9
01-09-2004,2.2
01-10-2004,2.4
01-11-2004,2.1
01-12-2004,2.1
01-01-2005,2.9
01-02-2005,2.6
01-03-2005,2.1
01-04-2005,2.6
01-05-2005,2.9
01-06-2005,0.9
01-07-2005,2.9
01-08-2005,1.5
01-09-2005,3.1
01-10-2005,2.3
01-11-2005,3.4
01-12-2005,2.5
01-01-2006,2.7
01-02-2006,3.1
01-03-2006,3.1
01-04-2006,3.8
01-05-2006,4.1
01-06-2006,3.9
01-07-2006,3.6
01-08-2006,3.0
